288,Helen Mcdonald,8,8
290,Michelle Hamilton,5,5
291,Kimberly Johnson,54,54
294,Norma Hill,2,2
297,Jennifer Henry,5,5
300,Rebecca Adams,10,0.37
306,Dorothy Wilson,5,1.14
307,Gloria Anderson,7,4.26
311,Ann Edwards,7,7
312,Ruth Green,3,3
319,Barbara Evans,2,2
326,Emily White,3,3
327,Gloria Anderson,7,7
328,Ashley Howard,67,67
333,Rose Bishop,32,32
339,Jane Larson,7,6.33
346,Linda Gonzalez,10,10
352,Sarah Hall,2,1.37
356,Irene Stephens,1,0.6
357,Evelyn Watson,6,6
358,Jacqueline Fox,6,2.97
363,Sharon Webb,8,8
367,Marie Cruz,5,5
370,Amanda Morgan,17,10.5
372,Melissa Roberts,64,64
376,Christina Jones,10,4.97
377,Louise Morrison,5,5
378,Kimberly Schmidt,4,4
381,Debra Shaw,4,4
382,Theresa Marshall,1,1
388,Rose Flores,6,6
392,Ann Elliott,8,6.43
393,Donna Russell,50,50
394,Amy Wood,9,9
398,Margaret Kennedy,7,1.94
401,Irene Shaw,10,1.79
403,Heather Morales,4,4
409,Anne Williams,13,13
410,Lori Matthews,7,7
414,Anne Franklin,6,3.24
415,Pamela Long,1,0.11
420,Gloria Hernandez,4,4
421,Nancy Rodriguez,1,1
422,Jennifer Gonzales,8,8
423,Jane Rice,5,3.85
425,Heather Knight,16,16
428,Linda Cole,66,14.84
430,Doris Davis,81,81
431,Katherine Bennett,43,43
433,Theresa Richardson,16,14.75
435,Rebecca Clark,2,0.66
436,Christine Howard,8,5.25
437,Betty Powell,9,7.61
439,Denise Lawrence,9,9
441,Virginia Powell,6,6
442,Carol King,2,2
444,Susan Watkins,64,9.79
445,Louise Wallace,4,4
455,Kelly Day,93,93
457,Robin Boyd,1,1
458,Louise Ryan,10,10
459,Jessica Porter,65,65
461,Kelly Kelley,2,2
464,Wanda Sanders,1,0.32
475,Judith Armstrong,6,6
476,Mildred Chapman,97,97
478,Julie Hughes,18,18
479,Denise Reid,19,19
488,Lori Austin,3,3
489,Judith Perry,9,9
490,Theresa Arnold,5,5
491,Christine Clark,8,8
492,Kathryn Armstrong,22,8.99
501,Marie Ford,31,25.02
511,Tina Hill,8,6.91
516,Maria Wright,2,1.56
519,Diane Woods,8,8
522,Martha Palmer,65,65
529,Nicole Rivera,2,0.27
537,Jacqueline Miller,9,9
545,Lisa Williams,2,2
548,Sandra Dunn,8,8
549,Louise Cook,21,21
550,Lillian Reyes,5,5
552,Sara Holmes,82,82
555,Sharon Perkins,11,11
561,Christine Cook,5,5
563,Martha Bennett,12,12
565,Theresa Lane,57,53.58
566,Amanda Ramos,11,2.89
567,Paula Ellis,42,29.88
568,Heather Ortiz,2,2
570,Jane Cunningham,5,5
573,Irene Hunter,78,78
577,Amanda Harrison,1,1
578,Elizabeth Foster,10,10
579,Cheryl Scott,10,1.82
582,Emily George,2,0.27
586,Michelle Roberts,6,6
588,Jacqueline Hayes,17,17
589,Marilyn Chavez,5,5
591,Sara Hill,10,10
595,Katherine Fisher,10,7.47
596,Robin Stanley,3,3
599,Jessica Thompson,13,13
600,Debra Chavez,98,87.2
601,Heather Gilbert,6,5.1
602,Amanda Henderson,1,0.4
605,Angela Gonzales,99,89.42
606,Betty Carpenter,24,24
609,Kathy Scott,8,8
614,Katherine Riley,2,2
616,Janet Martin,16,16
617,Marilyn Cook,3,3
619,Lois George,8,6.82
623,Sandra Morgan,3,0.78
632,Ann Taylor,5,5
638,Denise Thomas,7,2.1
640,Andrea Jacobs,62,62
648,Sara Fields,2,2
649,Mary Warren,23,2.74
650,Doris Franklin,17,16.43
651,Dorothy Castillo,2,1.34
652,Julia Cruz,9,9
657,Kelly Parker,14,14
658,Diane Oliver,15,15
662,Susan Murphy,39,3.79
663,Angela Perry,6,1.13
669,Mary Cook,6,6
670,Beverly Lewis,3,3
672,Ruth Richardson,5,0.67
676,Kathy Bishop,91,91
679,Phyllis Scott,4,4
683,Katherine Hart,2,0.49
685,Jennifer Ruiz,19,8.85
686,Janice Martinez,2,0.39
687,Margaret Mendoza,9,9
693,Dorothy Ellis,10,9.72
694,Michelle Griffin,31,24.68
696,Ashley Cox,8,8
701,Anna Rogers,12,12
702,Heather Rice,3,3
706,Annie Nichols,23,23
709,Michelle Adams,5,0.6
713,Joyce Moreno,91,91
715,Mildred Harrison,18,18
725,Lori Taylor,48,48
729,Anne Perry,94,83.01
730,Diane Welch,69,69
732,Rachel Anderson,3,0.04
735,Lisa Davis,8,4.4
737,Julie Phillips,1,1
740,Heather Garza,1,1
746,Gloria Austin,9,9
747,Ashley Ross,10,10
748,Dorothy Dunn,9,9
750,Andrea Dean,55,55
755,Judy Welch,8,2.04
759,Julia Patterson,8,8
764,Andrea Phillips,10,10
765,Janice Willis,9,1.94
771,Jacqueline Watson,1,1
773,Marie Fuller,39,5.33
775,Christine Powell,1,0.59
783,Anne Palmer,14,14
785,Maria Evans,8,8
787,Denise Gray,7,3.7
797,Debra Sullivan,20,20
798,Judy Hansen,8,8
801,Mary Harper,5,5
803,Phyllis Baker,50,50
809,Andrea Rogers,7,7
815,Pamela Rogers,10,10
817,Carol Lawrence,12,5.66
819,Doris Garcia,2,2
825,Pamela Mills,5,1.46
827,Marie Robinson,16,16
834,Diane Coleman,5,5
839,Jacqueline Ford,2,0.81
845,Denise Medina,9,9
846,Susan Garza,7,7
848,Tina Olson,17,17
861,Tammy Hunt,6,6
863,Rachel Crawford,14,14
864,Tammy Washington,67,67
869,Ashley Fowler,6,6
875,Elizabeth Fields,10,1.14
877,Christine Snyder,46,26.27
892,Heather Lewis,7,7
893,Joyce Foster,87,51.17
894,Judy Patterson,1,1
897,Paula Frazier,7,5.24
900,Ruth Young,4,2.69
901,Pamela Phillips,2,2
902,Jean Chapman,60,60
906,Ashley Porter,10,3.89
908,Margaret Gomez,10,7.14
910,Wanda Powell,3,3
912,Julie Marshall,14,14
913,Marie Griffin,8,1.86
919,Sharon Gray,53,53
923,Lois Price,6,0.06
925,Frances Butler,2,2
926,Julie Daniels,4,4
928,Heather Jordan,4,4
931,Joyce Nelson,7,7
933,Phyllis Hernandez,7,7
934,Kathleen Hansen,15,15
937,Patricia Nguyen,8,7.95
938,Annie Elliott,3,2.95
943,Sandra Crawford,4,3.91
945,Kathryn Gutierrez,3,3
947,Amanda Cook,7,7
949,Gloria Shaw,2,2
951,Ruby Fernandez,4,4
954,Nancy Green,6,2.19
958,Lisa Ross,8,8
959,Teresa Daniels,7,7
960,Sharon Flores,20,20
961,Lois Morgan,6,2.22
963,Rose Lopez,74,64.19
965,Irene Ward,14,1.85
967,Marilyn Walker,2,2
968,Doris Johnson,8,8
973,Alice Andrews,1,0.54
974,Amy Stanley,33,33
978,Betty Peterson,18,18
980,Lori Myers,5,5
984,Donna Kelley,15,15
989,Donna Moore,3,3
990,Andrea Gibson,166,89.72
991,Rose Austin,7,5.68
993,Christine Hart,10,5.06
994,Irene Brooks,3,3
995,Bonnie Williamson,4,1.11
996,Susan Andrews,7,7
997,Teresa Henry,6,6
998,Rose Vasquez,3,2.19
